name	region	country	lat	lon	tz_id	localtime_epoch	localtime	last_updated_epoch	last_updated	temp_c	temp_f	is_day	wind_mph	wind_kph	wind_degree	wind_dir	pressure_mb	pressure_in	precip_mm	precip_in	humidity	cloud	feelslike_c	feelslike_f	vis_km	vis_miles	uv	gust_mph	gust_kph	text	co	no2	o3	so2	pm2_5	pm10	us-epa-index	gb-defra-index							
Thanjavur	Tamil Nadu	India	10.8	79.15	Asia/Kolkata	1617900479	08-04-2021 22:17	1617900300	08-04-2021 22:15	29	84.2	0	5.6	9	160	SSE	1010	30.3	0	0	70	50	30	86.1	5	3	1	13.9	22.3	Mist	377.2000122	5.800000191	69.40000153	2.200000048	13.69999981	18.79999924	1	2							
Thiruvarur	Tamil Nadu	India	10.77	79.65	Asia/Kolkata	1617900480	08-04-2021 22:18	1617900300	08-04-2021 22:15	29.2	84.6	0	8.9	14.4	145	SE	1008	30.2	0	0	57	1	31	87.8	10	6	1	12.1	19.4	Partly cloudy	357.2000122	8.399999619	44	6.900000095	6.699999809	9.699999809	1	1							
Tiruchirappalli	Tamil Nadu	India	10.81	78.69	Asia/Kolkata	1617900481	08-04-2021 22:18	1617900300	08-04-2021 22:15	29	84.2	0	5.6	9	160	SSE	1010	30.3	0	0	70	50	28.8	83.9	5	3	1	13	20.9	Mist	387.2000122	6.099999905	120.1999969	4.5	18.10000038	25	2	2							
Tirunelveli	Tamil Nadu	India	8.73	77.7	Asia/Kolkata	1617900481	08-04-2021 22:18	1617900300	08-04-2021 22:15	30	86	0	5.6	9	310	NW	1010	30.3	0	0	75	50	32.4	90.4	3	1	1	15.7	25.2	Mist	433.8999939	8.5	115.9000015	4.800000191	30.10000038	35.40000153	2	3							
Tirupur	Tamil Nadu	India	11.1	77.35	Asia/Kolkata	1617900482	08-04-2021 22:18	1617900300	08-04-2021 22:15	28	82.4	0	5.6	9	210	SSW	1011	30.3	0	0	79	25	27.7	81.9	5	3	1	15	24.1	Mist	407.2000122	10.19999981	115.9000015	6.199999809	35.70000076	54.90000153	2	3							
Tiruvallur	Tamil Nadu	India	13.15	79.92	Asia/Kolkata	1617900482	08-04-2021 22:18	1617900300	08-04-2021 22:15	28	82.4	0	6.9	11.2	170	S	1009	30.3	0	0	74	25	29.5	85.1	6	3	1	12.3	19.8	Partly cloudy	454	19.89999962	68	18.39999962	18.5	25.60000038	2	2							
Tiruvannamalai	Tamil Nadu	India	12.22	79.07	Asia/Kolkata	1617900483	08-04-2021 22:18	1617900300	08-04-2021 22:15	33.3	91.9	0	7.4	11.9	137	SE	1009	30.3	0	0	48	0	35.5	95.9	10	6	1	8.9	14.4	Clear	363.7999878	4.599999905	168.8000031	11.39999962	39.90000153	51.09999847	2	4							
Vellore	Tamil Nadu	India	12.93	79.13	Asia/Kolkata	1617900483	08-04-2021 22:18	1617900300	08-04-2021 22:15	34.1	93.4	0	9.8	15.8	129	SE	1009	30.3	0	0	40	1	35.6	96.1	10	6	1	15	24.1	Partly cloudy	350.5	4.699999809	145.8999939	4.300000191	30.20000076	46.70000076	2	3							
Villupuram	Tamil Nadu	India	11.93	79.48	Asia/Kolkata	1617900484	08-04-2021 22:18	1617900300	08-04-2021 22:15	28.9	84	0	9.6	15.5	126	SE	1009	30.3	0	0	65	0	31.9	89.4	10	6	1	14.1	22.7	Clear	390.5	8.199999809	55.79999924	2.700000048	9.399999619	14.60000038	1	1							
Ariyalur	Tamil Nadu	India	11.13	79.08	Asia/Kolkata	1617950448	09-04-2021 12:10	1617949800	09-04-2021 12:00	36	96.8	1	6.9	11.2	160	SSE	1010	30.3	0	0	39	50	44.2	111.6	4	2	8	5.6	9	Mist	387.2000122	2.400000095	87.30000305	1.799999952	23.39999962	29.20000076	2	2							
Chennai	Tamil Nadu	India	13.08	80.28	Asia/Kolkata	1617950448	09-04-2021 12:10	1617949800	09-04-2021 12:00	32	89.6	1	8.1	13	210	SSW	1010	30.3	0	0	46	25	36.2	97.2	6	3	7	14.3	23	Partly cloudy	554.0999756	22.29999924	39	52.5	19.79999924	27.20000076	2	2							
Coimbatore	Tamil Nadu	India	10.99	76.96	Asia/Kolkata	1617950449	09-04-2021 12:10	1617949800	09-04-2021 12:00	32	89.6	1	0	0	39	NE	1012	30.4	0	0	49	50	34.8	94.6	5	3	7	5.4	8.6	Mist	433.8999939	3.599999905	94.40000153	3.299999952	27.89999962	38.09999847	2	3							
Cuddalore	Tamil Nadu	India	11.75	79.75	Asia/Kolkata	1617950449	09-04-2021 12:10	1617949800	09-04-2021 12:00	27.8	82	1	9.2	14.8	175	S	1011	30.3	0	0	65	0	30	86	10	6	7	11	17.6	Sunny	393.8999939	23	48.59999847	59.59999847	21.20000076	26.39999962	2	2							
Dharmapuri	Tamil Nadu	India	12.13	78.17	Asia/Kolkata	1617950450	09-04-2021 12:10	1617949800	09-04-2021 12:00	31	87.8	1	4	6.5	181	S	1011	30.3	0	0	43	1	31.6	88.9	10	6	8	4.5	7.2	Partly cloudy	337.1000061	4.900000095	95.80000305	13.5	19.29999924	24.20000076	2	2							
Dindigul	Tamil Nadu	India	10.35	77.95	Asia/Kolkata	1617950450	09-04-2021 12:10	1617949800	09-04-2021 12:00	32	89.6	1	2.7	4.3	87	E	1011	30.3	0	0	43	2	33.2	91.8	10	6	8	2.9	4.7	Partly cloudy	407.2000122	3.299999952	93	6.300000191	28.79999924	36.20000076	2	3							
Erode	Tamil Nadu	India	11.35	77.73	Asia/Kolkata	1617950451	09-04-2021 12:10	1617949800	09-04-2021 12:00	30.7	87.3	1	4.7	7.6	132	SE	1011	30.3	0	0	54	3	32.8	91	10	6	8	5.4	8.6	Sunny	427.2999878	6.400000095	74.40000153	4.400000095	27.5	35.5	2	3							
Kancheepuram	Tamil Nadu	India	12.83	79.72	Asia/Kolkata	1617950451	09-04-2021 12:10	1617949800	09-04-2021 12:00	32	89.6	1	8.1	13	210	SSW	1010	30.3	0	0	46	25	34.3	93.8	6	3	8	9.8	15.8	Partly cloudy	363.7999878	15.39999962	49.40000153	28.60000038	33.59999847	41.20000076	2	3							
Kanyakumari	Tamil Nadu	India	8.08	77.55	Asia/Kolkata	1617950451	09-04-2021 12:10	1617949800	09-04-2021 12:00	32	89.6	1	10.5	16.9	260	W	1009	30.3	0	0	67	25	37.4	99.3	6	3	8	5.4	8.6	Partly cloudy	360.5	5.900000095	71.5	6.599999905	20.79999924	24.70000076	2	2							
Karur	Tamil Nadu	India	10.95	78.08	Asia/Kolkata	1617950452	09-04-2021 12:10	1617949800	09-04-2021 12:00	36	96.8	1	6.9	11.2	160	SSE	1010	30.3	0	0	39	50	43.9	111	4	2	8	4	6.5	Mist	390.5	5.400000095	83.69999695	8.399999619	27.29999924	33.5	2	3							
Krishnagiri	Tamil Nadu	India	12.53	78.23	Asia/Kolkata	1617950452	09-04-2021 12:10	1617949800	09-04-2021 12:00	28.3	82.9	1	6	9.7	168	SSE	1011	30.3	0	0	43	2	28.3	82.9	10	6	7	6.9	11.2	Partly cloudy	403.8999939	4.699999809	93	17.20000076	32.70000076	41.5	2	3							
Madurai	Tamil Nadu	India	9.93	78.12	Asia/Kolkata	1617950453	09-04-2021 12:10	1617949800	09-04-2021 12:00	30.8	87.4	1	4.7	7.6	96	E	1011	30.3	0	0	52	9	32.7	90.9	10	6	8	5.4	8.6	Partly cloudy	390.5	6	94.40000153	7.900000095	28	33.5	2	3							
Nagapattinam	Tamil Nadu	India	10.77	79.83	Asia/Kolkata	1617950453	09-04-2021 12:10	1617949800	09-04-2021 12:00	30.2	86.4	1	8.3	13.3	156	SSE	1010	30.3	0	0	59	12	33.1	91.6	10	6	8	9.6	15.5	Sunny	350.5	7.5	64.40000153	10.39999962	22.60000038	26.79999924	2	2							
Namakkal	Tamil Nadu	India	11.23	78.17	Asia/Kolkata	1617950454	09-04-2021 12:10	1617949800	09-04-2021 12:00	36	96.8	1	6.9	11.2	160	SSE	1010	30.3	0	0	39	50	42.5	108.5	4	2	8	5.6	9	Mist	357.2000122	3	86.59999847	3.599999905	21	26.60000038	2	2							
Perambalur	Tamil Nadu	India	11.23	78.88	Asia/Kolkata	1617950454	09-04-2021 12:10	1617949800	09-04-2021 12:00	36	96.8	1	6.9	11.2	160	SSE	1010	30.3	0	0	39	50	43.7	110.7	4	2	8	4.7	7.6	Mist	343.7999878	3.200000048	103	2.799999952	18.39999962	22.70000076	2	2							
Pudukkottai	Tamil Nadu	India	10.38	78.82	Asia/Kolkata	1617950455	09-04-2021 12:10	1617949800	09-04-2021 12:00	36	96.8	1	6.9	11.2	160	SSE	1010	30.3	0	0	39	50	43.5	110.3	4	2	8	6.9	11.2	Mist	310.3999939	2.299999952	86.59999847	0.600000024	17.20000076	21.60000038	2	2							
